State,Crop,cropSeason,Year,Yield,lai_lv,uvb,t2m_C,windSpeed,relativeHumidity,wbi,rsm,swvl3,tp,cvl
West Bengal,Rice,Kharif,2021-2022,2996,1.793864705,1783289.832,28.69793982,1.659451878,95.60258106,0.008887652,0.730398515,536.2873568,13.31270477,0
Uttar Pradesh,Rice,Kharif,2021-2022,2679,1.585755773,1983370.16,23.80335899,1.087808147,93.9616139,0.007778951,0.65039782,1471.146365,29.70910454,1
Punjab,Rice,Kharif,2021-2022,4340,1.355923898,2285686.011,30.17425711,0.954823421,90.04285651,0.008282987,0.615806261,248.829263,2.970718379,1
Odisha,Rice,Kharif,2021-2022,2318,1.693181672,1868613.871,27.89576748,2.341993871,95.41159066,0.008886118,0.526990651,532.563854,17.31250769,0
Tamilnadu,Rice,Kharif,2021-2022,3658,1.380752693,2198803.43,27.56131647,3.21536176,93.22065676,0.007556006,0.397740419,283.5960843,7.883594948,0
Chhattisgarh,Rice,Kharif,2021-2022,2101,2.407783222,1743753.498,27.02719436,1.289571407,94.82065747,0.008561571,0.797326985,714.5918058,14.69870088,0.035402536
Andhra Pradesh,Rice,Kharif,2021-2022,3470,1.311785679,1993898.2,27.90651451,3.213886779,93.88068332,0.007947754,0.442999533,1038.001715,29.84614371,0
Bihar,Rice,Kharif,2021-2022,2282,1.683664756,1784473.687,28.64325252,1.455238251,95.14715914,0.008497286,0.868525076,419.6162863,9.39933099,1
Assam,Rice,Kharif,2021-2022,2236,1.975700827,1727806.37,24.2707481,0.652702195,96.33392191,0.00595857,0.874624456,915.9085044,24.41709518,0
Uttar Pradesh,Wheat,Rabi,2021-2022,3604,1.465132265,2078346.802,15.33449345,1.017998802,87.85179396,0.004180207,0.60318944,1684.989009,2.410455705,1
Madhya Pradesh,Wheat,Rabi,2021-2022,3449,1.77195313,2125920.787,23.67014545,0.96891196,84.72173077,0.005534151,0.741612901,1928.125852,2.099583912,1
Punjab,Wheat,Rabi,2021-2022,4206,1.313429645,1886181.148,19.44979602,0.952921038,88.26312442,0.004633597,0.639804329,364.2375188,0.905441284,1
Haryana,Wheat,Rabi,2021-2022,4533,1.288148568,1969429.866,20.15423067,1.087915085,87.35476688,0.004883539,0.541039449,222.8122001,0.407429194,1
Rajasthan,Wheat,Rabi,2021-2022,3676,1.025783939,2105874.303,22.49487327,1.121026062,82.7896392,0.005072604,0.500213089,1540.355424,1.226894173,1
Bihar,Wheat,Rabi,2021-2022,2780,1.521544386,2026178.94,22.22282684,1.065032268,89.70333544,0.004187304,0.805723524,433.9551225,0.57995081,1
Gujarat,Wheat,Rabi,2021-2022,3206,1.023417633,2229425.5,25.26011006,2.342743968,86.00417738,0.00425665,0.505667377,688.7807556,0.522502672,0
Maharashtra,Wheat,Rabi,2021-2022,2117,1.720156807,2199737.334,25.9684085,1.318193436,86.88459596,0.005711175,0.747532489,1946.637486,5.966555508,0
Karnataka,Cereals,Kharif,2021-2022,2253,1.459262525,1849003.97,25.62998183,3.0476931,94.30054999,0.008845223,0.673031148,793.7136228,18.52520295,0
Rajasthan,Cereals,Kharif,2021-2022,1280,1.083038448,2201052.894,30.35827829,2.215177411,89.06582221,0.007852268,0.493845304,1125.866343,12.95716128,1
Maharashtra,Cereals,Kharif,2021-2022,1621,1.8058334,1792765.629,26.9099194,2.602314482,93.98463683,0.008837349,0.74396274,1568.959964,30.95573253,0
Madhya Pradesh,Cereals,Kharif,2021-2022,2931,1.894649546,1829752.917,27.78527497,1.732263034,93.18119885,0.008706183,0.765031097,1654.700826,28.34336449,1
Uttar Pradesh,Cereals,Kharif,2021-2022,2169,1.585755773,1983370.16,23.80335899,1.087808147,93.9616139,0.007778951,0.65039782,1471.146365,29.70910454,1
Tamilnadu,Cereals,Kharif,2021-2022,3672,1.380752693,2198803.43,27.56131647,3.21536176,93.22065676,0.007556006,0.397740419,283.5960843,7.883594948,0
West Bengal,Cereals,Kharif,2021-2022,7028,1.793864705,1783289.832,28.69793982,1.659451878,95.60258106,0.008887652,0.730398515,536.2873568,13.31270477,0
Bihar,Cereals,Kharif,2021-2022,3750,1.683664756,1784473.687,28.64325252,1.455238251,95.14715914,0.008497286,0.868525076,419.6162863,9.39933099,1
Andhra Pradesh,Cereals,Kharif,2021-2022,4835,1.311785679,1993898.2,27.90651451,3.213886779,93.88068332,0.007947754,0.442999533,1038.001715,29.84614371,0
Maharashtra,Jowar,Kharif,2021-2022,1038,1.8058334,1792765.629,26.9099194,2.602314482,93.98463683,0.008837349,0.74396274,1568.959964,30.95573253,0
Karnataka,Jowar,Kharif,2021-2022,1204,1.459262525,1849003.97,25.62998183,3.0476931,94.30054999,0.008845223,0.673031148,793.7136228,18.52520295,0
Rajasthan,Jowar,Kharif,2021-2022,864,1.083038448,2201052.894,30.35827829,2.215177411,89.06582221,0.007852268,0.493845304,1125.866343,12.95716128,1
Tamilnadu,Jowar,Kharif,2021-2022,735,1.380752693,2198803.43,27.56131647,3.21536176,93.22065676,0.007556006,0.397740419,283.5960843,7.883594948,0
Uttar Pradesh,Jowar,Kharif,2021-2022,1578,1.585755773,1983370.16,23.80335899,1.087808147,93.9616139,0.007778951,0.65039782,1471.146365,29.70910454,1
Andhra Pradesh,Jowar,Kharif,2021-2022,3166,1.311785679,1993898.2,27.90651451,3.213886779,93.88068332,0.007947754,0.442999533,1038.001715,29.84614371,0
Madhya Pradesh,Jowar,Kharif,2021-2022,1941,1.894649546,1829752.917,27.78527497,1.732263034,93.18119885,0.008706183,0.765031097,1654.700826,28.34336449,1
Gujarat,Jowar,Kharif,2021-2022,1346,1.072244879,1948795.047,28.80942453,3.657032624,93.06855996,0.007599714,0.489499576,512.8086457,10.83279537,0
